HHID,Migration,Internal migration,International migration,Age (HH head),Female (HH head),Secondary education (HH head),HH size,Ethnic minority,Sex ratio,Married females,Married males,ln(savings + 1),Nonfarm income,Temp. anomaly (+),Temp. anomaly (-),Prec. anomaly (+),Prec. anomaly (-),zone,region,kebele
8270111,2,2,0,67.0,0.0,1.0,9.0,0,0.4444444444444444,0.25,0.2,4.61512051684126,0.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
8320712,0,0,0,60.0,0.0,1.0,7.0,0,0.4285714285714285,0.6666666666666666,0.5,6.68586094706836,1.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,712.0
8330723,2,2,0,40.0,1.0,0.0,7.0,0,0.7142857142857143,0.2,0.0,0.0,0.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,721.0
8400111,0,0,0,38.0,0.0,0.0,5.0,0,0.4,0.5,0.3333333333333333,0.0,1.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
8410723,0,0,0,70.0,0.0,0.0,7.0,0,0.2857142857142857,0.5,0.2,5.303304908059076,0.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,721.0
8440712,0,0,0,45.0,0.0,0.0,11.0,0,0.4545454545454545,0.2,0.1666666666666666,5.303304908059076,0.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,712.0
8480724,2,2,0,52.0,0.0,0.0,11.0,0,0.5454545454545454,0.1666666666666666,0.2,5.707110264748875,0.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,722.0
8580111,2,2,0,70.0,1.0,0.0,7.0,0,0.7142857142857143,0.4,0.0,0.0,0.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
8590124,0,0,0,65.0,0.0,0.0,3.0,0,0.6666666666666666,0.5,1.0,0.0,0.0,19.86316969076825,-8.323467724734307,4.904928000753511,-0.4695815644088554,Southern,Tigray,122.0
8590712,2,2,2,56.0,0.0,0.0,8.0,0,0.625,0.2,0.3333333333333333,7.0825485693553,0.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,712.0
8620723,2,2,0,52.0,0.0,0.0,11.0,0,0.7272727272727273,0.25,0.6666666666666666,0.0,1.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,721.0
8690724,0,0,0,22.0,0.0,0.0,3.0,0,0.6666666666666666,0.5,1.0,0.0,0.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,722.0
8700123,1,1,2,79.0,0.0,0.0,9.0,0,0.3333333333333333,0.3333333333333333,0.1666666666666666,6.398594934535208,0.0,19.86316969076825,-8.323467724734307,4.904928000753511,-0.4695815644088554,Southern,Tigray,121.0
8720123,0,0,0,30.0,0.0,1.0,5.0,0,0.4,0.5,0.3333333333333333,9.90353755128617,1.0,19.86316969076825,-8.323467724734307,4.904928000753511,-0.4695815644088554,Southern,Tigray,121.0
8730712,2,0,2,50.0,0.0,0.0,8.0,0,0.375,0.3333333333333333,0.4,0.0,0.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,712.0
8740124,2,0,2,40.0,1.0,0.0,4.0,0,0.5,0.0,0.0,0.0,0.0,19.86316969076825,-8.323467724734307,4.904928000753511,-0.4695815644088554,Southern,Tigray,122.0
8770111,2,0,2,55.0,1.0,0.0,5.0,0,0.6,0.6666666666666666,0.0,5.017279836814924,0.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
8780723,0,0,0,30.0,0.0,0.0,5.0,0,0.6,0.3333333333333333,0.5,0.0,1.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,721.0
8800712,0,0,0,42.0,0.0,1.0,6.0,0,0.5,0.3333333333333333,0.3333333333333333,6.2166061010848646,1.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,712.0
8820723,2,2,0,50.0,0.0,0.0,7.0,0,0.5714285714285714,0.25,0.3333333333333333,6.55250788703459,0.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,721.0
8840111,2,2,0,42.0,1.0,0.0,6.0,0,0.8333333333333334,0.2,0.0,0.0,0.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
8860124,2,0,2,45.0,0.0,0.0,6.0,0,0.5,0.3333333333333333,0.3333333333333333,3.9318256327243257,0.0,19.86316969076825,-8.323467724734307,4.904928000753511,-0.4695815644088554,Southern,Tigray,122.0
8890111,0,0,0,27.0,1.0,0.0,4.0,0,0.5,0.0,0.0,5.993961427306569,1.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
8950111,0,0,0,67.0,0.0,1.0,6.0,0,0.5,0.3333333333333333,0.3333333333333333,2.3978952727983707,1.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
9020111,2,2,0,60.0,0.0,0.0,10.0,0,0.6,0.1666666666666666,0.5,4.262679877041316,0.0,21.568087192434263,-9.096841218540462,10.453093611215388,2.1941075218451545,Eastern,Tigray,111.0
9050723,2,2,0,55.0,0.0,0.0,9.0,0,0.5555555555555556,0.2,0.25,0.0,0.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,721.0
9080724,0,0,0,30.0,0.0,0.0,5.0,0,0.4,0.5,0.3333333333333333,6.2166061010848646,1.0,3.504905637228376,-20.47933087202471,-10.236953926753436,-0.4977364959541006,Wolayita,SNNP,722.0
9090712,0,0,0,45.0,0.0,0.0,8.0,0,0.625,0.2,0.3333333333333333,0.0,0.0,1.6270690844692552,-17.07264516190444,8.597266447163598,-0.8605195714862646,Guraghe,SNNP,712.0
